x,t = 15s,t = 30s,t = 60s,t = 90s,t = 150s,t = 210s
0,30.3972,30.3086,30.2498,30.2423,30.2412,30.2412
4e-06,30.3942,30.3055,30.2467,30.2392,30.2382,30.2381
8e-06,30.3911,30.3025,30.2437,30.2362,30.2351,30.2351
1.2e-05,30.3881,30.2995,30.2406,30.2331,30.2321,30.232
1.6e-05,30.385,30.2964,30.2376,30.2301,30.229,30.229
2e-05,30.382,30.2934,30.2345,30.227,30.226,30.2259
2.4e-05,30.3789,30.2903,30.2315,30.224,30.2229,30.2229
2.8e-05,30.3759,30.2873,30.2284,30.2209,30.2199,30.2199
3.2e-05,30.3728,30.2842,30.2254,30.2179,30.2168,30.2168
3.6e-05,30.3698,30.2812,30.2223,30.2148,30.2138,30.2138
4e-05,30.3667,30.2781,30.2193,30.2118,30.2107,30.2107
4.4e-05,30.3637,30.2751,30.2163,30.2088,30.2077,30.2077
4.8e-05,30.3606,30.272,30.2132,30.2057,30.2046,30.2046
5.2e-05,30.3576,30.269,30.2102,30.2027,30.2016,30.2016
5.6e-05,30.3545,30.2659,30.2071,30.1996,30.1985,30.1985
6e-05,30.3515,30.2629,30.2041,30.1966,30.1955,30.1955
6.4e-05,30.3484,30.2598,30.201,30.1935,30.1924,30.1924
6.8e-05,30.3454,30.2568,30.198,30.1905,30.1894,30.1894
7.2e-05,30.3423,30.2537,30.1949,30.1874,30.1863,30.1863
7.6e-05,30.3393,30.2507,30.1919,30.1844,30.1833,30.1833
8e-05,30.3362,30.2476,30.1888,30.1813,30.1803,30.1802
8.4e-05,30.3332,30.2446,30.1858,30.1783,30.1772,30.1772
8.8e-05,30.3302,30.2415,30.1827,30.1752,30.1742,30.1741
9.2e-05,30.3271,30.2385,30.1797,30.1722,30.1711,30.1711
9.6e-05,30.3241,30.2355,30.1766,30.1691,30.1681,30.168
0.0001,30.321,30.2324,30.1736,30.1661,30.165,30.165
0.000104,30.318,30.2294,30.1706,30.1631,30.162,30.162
0.000108,30.3149,30.2263,30.1675,30.16,30.1589,30.1589
0.000112,30.3119,30.2233,30.1645,30.157,30.1559,30.1559
0.000116,30.3088,30.2202,30.1614,30.1539,30.1528,30.1528
0.00012,30.3058,30.2172,30.1584,30.1509,30.1498,30.1498
0.000124,30.3027,30.2141,30.1553,30.1478,30.1467,30.1467
0.000128,30.2997,30.2111,30.1523,30.1448,30.1437,30.1437
0.000132,30.2967,30.208,30.1492,30.1417,30.1407,30.1406
0.000136,30.2936,30.205,30.1462,30.1387,30.1376,30.1376
0.00014,30.2906,30.202,30.1431,30.1356,30.1346,30.1345
0.000144,30.2875,30.1989,30.1401,30.1326,30.1315,30.1315
0.000148,30.2845,30.1959,30.1371,30.1296,30.1285,30.1285
0.000152,30.2814,30.1928,30.134,30.1265,30.1254,30.1254
0.000156,30.2784,30.1898,30.131,30.1235,30.1224,30.1224
0.00016,30.2753,30.1867,30.1279,30.1204,30.1193,30.1193
0.000164,30.2723,30.1837,30.1249,30.1174,30.1163,30.1163
0.000168,30.2692,30.1806,30.1218,30.1143,30.1133,30.1132
0.000172,30.2662,30.1776,30.1188,30.1113,30.1102,30.1102
0.000176,30.2632,30.1746,30.1157,30.1082,30.1072,30.1071
0.00018,30.2601,30.1715,30.1127,30.1052,30.1041,30.1041
0.000184,30.2571,30.1685,30.1097,30.1022,30.1011,30.1011
0.000188,30.254,30.1654,30.1066,30.0991,30.098,30.098
0.000192,30.251,30.1624,30.1036,30.0961,30.095,30.095
0.000196,30.2479,30.1593,30.1005,30.093,30.0919,30.0919
0.0002,30.2449,30.1563,30.0975,30.09,30.0889,30.0889
0.000204,30.2419,30.1532,30.0944,30.0869,30.0859,30.0858
0.000208,30.2388,30.1502,30.0914,30.0839,30.0828,30.0828
0.000212,30.2358,30.1472,30.0883,30.0808,30.0798,30.0798
0.000216,30.2327,30.1441,30.0853,30.0778,30.0767,30.0767
0.00022,30.2297,30.1411,30.0823,30.0748,30.0737,30.0737
0.000224,30.2266,30.138,30.0792,30.0717,30.0706,30.0706
0.000228,30.2236,30.135,30.0762,30.0687,30.0676,30.0676
0.000232,30.2206,30.1319,30.0731,30.0656,30.0646,30.0645
0.000236,30.2175,30.1289,30.0701,30.0626,30.0615,30.0615
0.00024,30.2145,30.1259,30.067,30.0595,30.0585,30.0585
0.000244,30.2114,30.1228,30.064,30.0565,30.0554,30.0554
0.000248,30.2084,30.1198,30.061,30.0535,30.0524,30.0524
0.000252,30.2053,30.1167,30.0579,30.0504,30.0493,30.0493
0.000256,30.2023,30.1137,30.0549,30.0474,30.0463,30.0463
0.00026,30.1993,30.1106,30.0518,30.0443,30.0433,30.0432
0.000264,30.1962,30.1076,30.0488,30.0413,30.0402,30.0402
0.000268,30.1932,30.1046,30.0458,30.0383,30.0372,30.0372
0.000272,30.1901,30.1015,30.0427,30.0352,30.0341,30.0341
0.000276,30.1871,30.0985,30.0397,30.0322,30.0311,30.0311
0.00028,30.1841,30.0954,30.0366,30.0291,30.0281,30.028
0.000284,30.181,30.0924,30.0336,30.0261,30.025,30.025
0.000288,30.178,30.0894,30.0305,30.023,30.022,30.022
0.000292,30.1749,30.0863,30.0275,30.02,30.0189,30.0189
0.000296,30.1719,30.0833,30.0245,30.017,30.0159,30.0159
0.0003,30.1688,30.0802,30.0214,30.0139,30.0128,30.0128
0.000304,30.1658,30.0772,30.0184,30.0109,30.0098,30.0098
0.000308,30.1628,30.0741,30.0153,30.0078,30.0068,30.0067
0.000312,30.1597,30.0711,30.0123,30.0048,30.0037,30.0037
0.000316,30.1567,30.0681,30.0093,30.0018,30.0007,30.0007
0.00032,30.1536,30.065,30.0062,29.9987,29.9976,29.9976
0.000324,30.1506,30.062,30.0032,29.9957,29.9946,29.9946
0.000328,30.1476,30.0589,30.0001,29.9926,29.9916,29.9915
0.000332,30.1445,30.0559,29.9971,29.9896,29.9885,29.9885
0.000336,30.1415,30.0529,29.9941,29.9866,29.9855,29.9855
0.00034,30.1384,30.0498,29.991,29.9835,29.9824,29.9824
0.000344,30.1354,30.0468,29.988,29.9805,29.9794,29.9794
0.000348,30.1324,30.0437,29.9849,29.9774,29.9764,29.9763
0.000352,30.1293,30.0407,29.9819,29.9744,29.9733,29.9733
0.000356,30.1263,30.0377,29.9789,29.9714,29.9703,29.9703
0.00036,30.1233,30.0346,29.9758,29.9683,29.9672,29.9672
0.000364,30.1202,30.0316,29.9728,29.9653,29.9642,29.9642
0.000368,30.1172,30.0285,29.9697,29.9622,29.9612,29.9611
0.000372,30.1141,30.0255,29.9667,29.9592,29.9581,29.9581
0.000376,30.1111,30.0225,29.9637,29.9562,29.9551,29.9551
